region,origin_x,origin_y,origin_z,roi_raw_point_count,plant_filtered_point_count,N_top_voxels,N_source_voxels,N_filled_voxels_raw,N_filled_voxels,min_filled_component_voxels,filled_component_count,filled_component_kept_count,filled_component_removed_count,filled_component_removed_voxels,canopy_projected_area,canopy_cover,z_top_mean,z_top_min,z_top_max,z_top_mean_global_m,z_top_min_global_m,z_top_max_global_m,z_top_mean_above_ground_cm,z_top_min_above_ground_cm,z_top_max_above_ground_cm,I_region,R_region,I_empty_region,L_model,ppfd_top_mean,ppfd_top_min,ppfd_top_max,roi_dir,interception_dir
1-1,0.0,0.0,0.275,187859,18727,43176,15506,367819,343450,2500,110,21,89,24369,0.172704,0.20559999999999998,0.2755324254215305,0.20700000000000002,0.357,0.5505324254215305,0.48200000000000004,0.632,9.05324254215305,2.200000000000002,17.2,42.774913196744315,50.9225157104099,214.73797049176247,0.19919585296809536,247.67760559537885,127.94982011167399,378.2779688552912,light/roi/1-1,light/interception/1-1
1-2,1.5,0.0,0.275,174726,21321,47614,17651,407302,382609,2500,85,17,68,24693,0.190456,0.2267333333333333,0.28928348804973336,0.213,0.353,0.5642834880497333,0.488,0.628,10.428348804973332,2.799999999999997,16.799999999999997,48.39668082515329,57.615096220420575,214.73797049176247,0.22537551563108318,254.10950994010844,141.95229812629967,344.8799935558838,light/roi/1-2,light/interception/1-2
1-3,3.0,0.0,0.275,178898,21161,49200,17622,404744,392989,2500,73,15,58,11755,0.1968,0.23428571428571426,0.27379959349593497,0.199,0.335,0.548799593495935,0.47400000000000003,0.6100000000000001,8.879959349593499,1.4000000000000012,15.000000000000007,47.234036892580264,56.230996300690784,214.73797049176247,0.2199612708661238,240.0103500639241,122.41286502727284,315.30259708941514,light/roi/1-3,light/interception/1-3
1-4,4.5,0.0,0.275,196307,24311,52555,19672,430963,406630,2500,94,18,76,24333,0.21022,0.25026190476190474,0.2850006469412996,0.219,0.361,0.5600006469412997,0.494,0.636,10.000064694129962,3.3999999999999977,17.599999999999998,53.63882867838535,63.85574842664922,214.73797049176247,0.24978735039522498,255.15568774800383,115.35233861132798,401.0785700933645,light/roi/1-4,light/interception/1-4
1-5,6.0,0.0,0.275,187622,20697,50751,16889,392136,377396,2500,75,16,59,14740,0.203004,0.24167142857142854,0.2815021378889086,0.219,0.361,0.5565021378889086,0.494,0.636,9.650213788890861,3.3999999999999977,17.599999999999998,51.1857071557979,60.93536566166416,214.73797049176247,0.2383635601965486,252.14137236605137,119.61699517359973,381.352031269893,light/roi/1-5,light/interception/1-5
